region,USA
region,UK
region,Europe
region,World

subregion,World,Niger
subregion,World,Nigeria
subregion,World,Norway
subregion,World,Oman
subregion,World,Pakistan
subregion,World,Palau
subregion,World,Panama
subregion,World,Papua New Guinea
subregion,World,Paraguay
subregion,World,Peru
subregion,World,Philippines
subregion,World,Poland
subregion,World,Portugal
subregion,World,Qatar
subregion,World,Romania
subregion,World,Russian Federation
subregion,World,Rwanda
subregion,World,St Kitts & Nevis
subregion,World,St Lucia
subregion,World,Saint Vincent & the Grenadines
subregion,World,Samoa
subregion,World,San Marino
subregion,World,Sao Tome & Principe
subregion,World,Saudi Arabia
subregion,World,Senegal
subregion,World,Serbia
subregion,World,Seychelles
subregion,World,Sierra Leone
subregion,World,Singapore
subregion,World,Slovakia
subregion,World,Slovenia
subregion,World,Solomon Islands
subregion,World,Somalia
subregion,World,South Africa
subregion,World,South Sudan
subregion,World,Spain
subregion,World,Sri Lanka
subregion,World,Sudan
subregion,World,Suriname
subregion,World,Swaziland
subregion,World,Sweden
subregion,World,Switzerland
subregion,World,Syria
subregion,World,Taiwan
subregion,World,Tajikistan
subregion,World,Tanzania
subregion,World,Thailand
subregion,World,Togo
subregion,World,Tonga
subregion,World,Trinidad & Tobago
subregion,World,Tunisia
subregion,World,Turkey
subregion,World,Turkmenistan
subregion,World,Tuvalu
subregion,World,Uganda
subregion,World,Ukraine
subregion,World,United Arab Emirates
subregion,World,United Kingdom
subregion,World,United States
subregion,World,Uruguay
subregion,World,Uzbekistan
subregion,World,Vanuatu
subregion,World,Vatican City
subregion,World,Venezuela
subregion,World,Vietnam
subregion,World,Yemen
subregion,World,Zambia
subregion,World,Zimbabwe
